dataset,oversampling,num_of_rules,accuracy_train,fidelity_train,accuracy_test,fidelity_test
abalone,0,50,0.870608398,0.894815767,0.791068581,0.873205742
abalone,0,100,0.898029135,0.926092545,0.830143541,0.918660287
abalone,0,200,0.914095973,0.945158526,0.850877193,0.937799043
abalone,0,400,0.949657241,0.983933162,0.891547049,0.983253589
abalone,0,800,0.960582691,0.995287061,0.893141946,0.973684211
abalone,0,1600,0.962724936,0.99764353,0.893141946,0.9784689
abalone,1,50,0.878748929,0.895858271,0.79984051,0.88676236
abalone,1,100,0.900385604,0.935360306,0.831738437,0.92185008
abalone,1,200,0.911739503,0.950323198,0.849282297,0.940988836
abalone,1,400,0.930805484,0.970193919,0.877990431,0.971291866
abalone,1,800,0.93680377,0.984079483,0.891547049,0.980063796
abalone,1,1600,0.940017138,0.991141968,0.889952153,0.983253589
bankruptcy,0,50,0.952448007,0.959705373,0.931085044,0.962365591
bankruptcy,0,100,0.980719237,0.988084922,0.943792766,0.974095797
bankruptcy,0,200,0.986893414,0.992742634,0.945747801,0.978983382
bankruptcy,0,400,0.992742634,0.998375217,0.957966764,0.982404692
bankruptcy,0,800,0.994042461,1,0.95943304,0.984848485
bankruptcy,0,1600,0.993500867,1,0.948191593,0.973607038
breast_cancer,0,50,1,1,0.953216374,0.976608187
breast_cancer,0,100,1,1,0.964912281,0.988304094
breast_cancer,0,200,1,1,0.964912281,0.988304094
breast_cancer,0,400,1,1,0.959064327,0.98245614
breast_cancer,0,800,1,1,0.964912281,0.988304094
breast_cancer,0,1600,1,1,0.964912281,0.988304094
breast_cancer,1,50,0.990118577,0.993848858,0.953216374,0.988304094
breast_cancer,1,100,0.998023715,1,0.953216374,0.988304094
breast_cancer,1,200,1,1,0.941520468,0.988304094
breast_cancer,1,400,1,1,0.947368421,0.98245614
breast_cancer,1,800,1,1,0.941520468,0.988304094
breast_cancer,1,1600,1,1,0.953216374,1
diabetes,0,50,0.984444444,0.984444444,0.948717949,0.974358974
diabetes,0,100,1,1,0.955128205,0.980769231
diabetes,0,200,1,1,0.961538462,0.987179487
diabetes,0,400,1,1,0.948717949,0.987179487
diabetes,0,800,1,1,0.948717949,0.987179487
diabetes,0,1600,1,1,0.942307692,0.993589744
diabetes,1,50,0.957777778,0.9625,0.923076923,0.961538462
diabetes,1,100,0.993333333,0.992307692,0.948717949,1
diabetes,1,200,0.993333333,0.998076923,0.948717949,1
diabetes,1,400,0.995555556,1,0.942307692,0.993589744
diabetes,1,800,0.995555556,0.997115385,0.948717949,1
diabetes,1,1600,0.995555556,0.997115385,0.948717949,1
german_credit,0,50,0.794421488,0.873966942,0.73,0.85
german_credit,0,100,0.847107438,0.919421488,0.783333333,0.916666667
german_credit,0,200,0.872933884,0.948347107,0.796666667,0.926666667
german_credit,0,400,0.90392562,0.979338843,0.793333333,0.916666667
german_credit,0,800,0.922520661,0.997933884,0.793333333,0.92
german_credit,0,1600,0.924586777,1,0.803333333,0.936666667
german_credit,1,50,0.792355372,0.875,0.713333333,0.846666667
german_credit,1,100,0.816115702,0.9245,0.77,0.903333333
german_credit,1,200,0.820247934,0.946,0.776666667,0.923333333
german_credit,1,400,0.849173554,0.962,0.78,0.933333333
german_credit,1,800,0.878099174,0.987,0.766666667,0.933333333
german_credit,1,1600,0.888429752,0.9975,0.786666667,0.946666667
wine,0,50,0.961142322,0.962078652,0.89375,0.941666667
wine,0,100,0.985018727,0.98829588,0.91875,0.9625
wine,0,200,0.995318352,0.996722846,0.933333333,0.964583333
wine,0,400,0.998595506,1,0.939583333,0.970833333
wine,0,800,0.998595506,1,0.945833333,0.96875
wine,0,1600,0.998595506,1,0.947916667,0.983333333
wine,1,50,0.956928839,0.886804253,0.920833333,0.952083333
wine,1,100,0.959737828,0.9246404,0.941666667,0.96875
wine,1,200,0.954588015,0.937460913,0.945833333,0.972916667
wine,1,400,0.962546816,0.965603502,0.945833333,0.985416667
wine,1,800,0.973314607,0.989681051,0.94375,0.9875
wine,1,1600,0.983146067,0.998749218,0.94375,0.983333333